,model,cv_f1_macro,train_f1_macro,train_basic_f1,train_intermediate_f1,train_advanced_f1,train_basic_precision,train_intermediate_precision,train_advanced_precision,train_basic_recall,train_intermediate_recall,train_advanced_recall,test_f1_macro,test_basic_f1,test_intermediate_f1,test_advanced_f1,test_basic_precision,test_intermediate_precision,test_advanced_precision,test_basic_recall,test_intermediate_recall,test_advanced_recall,val_f1_macro,val_basic_f1,val_intermediate_f1,val_advanced_f1,val_basic_precision,val_intermediate_precision,val_advanced_precision,val_basic_recall,val_intermediate_recall,val_advanced_recall
0,lr,0.8416216652248852,0.8494336200718017,0.9121388569521196,0.8444119031431411,0.7917501001201441,0.9037924445097751,0.8438381937911571,0.8355874894336432,0.9206408624691174,0.844986393133766,0.752283105022831,0.8544069028865696,0.9198951354500436,0.8597434836574266,0.7835820895522388,0.9143022582513028,0.8565539983511954,0.8300395256916996,0.9255568581477139,0.8629568106312292,0.7420494699646644,0.8363460806937001,0.9045108377270065,0.8327556325823223,0.7717717717717718,0.9039812646370023,0.8199658703071673,0.8184713375796179,0.9050410316529894,0.8459507042253521,0.7301136363636364
1,xgb,0.9587061028882683,0.9984539809845373,0.9987266871395402,0.998534951862704,0.9981003039513677,0.9991757212439116,0.9983260096254446,0.9965857359635811,0.9982780564498016,0.9987439815783965,0.9996194824961948,0.9656097060418762,0.9810440361621464,0.9651452282157676,0.9506398537477148,0.9762042948345908,0.9643449419568823,0.9848484848484849,0.9859320046893317,0.9659468438538206,0.9187279151943463,0.9537798856641965,0.9755387303436226,0.9570175438596491,0.9287833827893175,0.9693287037037037,0.9536713286713286,0.9720496894409938,0.9818288393903869,0.960387323943662,0.8892045454545454
2,svm,0.8350295566769571,0.8375396896726026,0.9123169427127522,0.8392773468006456,0.7610247795044099,0.8992146596858639,0.8349735833419663,0.8491096532333646,0.9258066931197125,0.8436257065103622,0.6894977168949772,0.8435813342169075,0.9179190751445087,0.8550124275062138,0.7578125,0.9053591790193842,0.8528925619834711,0.8471615720524017,0.9308323563892146,0.8571428571428571,0.6855123674911661,0.8277916220838838,0.9057697883444477,0.8327556325823223,0.7448494453248812,0.8961560527825588,0.8199658703071673,0.8422939068100358,0.9155920281359906,0.8459507042253521,0.6676136363636364
3,rf,0.9374936945771554,0.9969952622460759,0.9971959472090328,0.9966453506656883,0.9971444888635066,0.99596713965646,0.998215035699286,0.9977142857142857,0.998427790671558,0.9950805945153862,0.9965753424657534,0.9437631779866814,0.9718268951495789,0.9465838509316771,0.9128787878787878,0.9631548647092688,0.9438480594549958,0.9836734693877551,0.9806565064478312,0.9493355481727574,0.8515901060070671,0.9346494801269777,0.9644200173560891,0.9346204475647214,0.9049079754601227,0.9520274129069103,0.931758530183727,0.9833333333333333,0.9771395076201641,0.9375,0.8380681818181818
