feature,f-score,p-value
LDTTRLadj,26.73218649577628,2.5263612519503627e-12
PSYAoA1,25.685566541074838,7.179688418655818e-12
PSYARO,17.758687476437267,1.962721208343199e-08
PSYVAL,17.758687476437267,1.962721208343199e-08
PSYFM0,17.719557065108226,2.0409349326167493e-08
SECLOSadjd,16.383254892031022,7.751822314186833e-08
SYNMEDwrd,15.108620571528403,2.7687811208403844e-07
CRFCWOad,14.129244247607915,7.364443216869825e-07
SECLOPadj,10.544564321405423,2.6451106763631354e-05
DESPLd,10.482361001410574,2.8147263642266035e-05
WRDADV,10.35504398755627,3.196569675064777e-05
SYNMEDlem,9.365268364897767,8.594221954966138e-05
TSSRlg,9.33060589268574,8.89711640518501e-05
WFRCadvi,6.410824677406683,0.0016463150767173792
DESPC,6.027847576621366,0.002414108688186092
SECLOPadjd,3.0400960862983,0.04784760492784379
CRFCWO1d,1.6091516216234085,0.20007755163726745
