,model,cv_f1_macro,train_f1_macro,train_human_f1,train_gen_f1,train_human_precision,train_gen_precision,train_human_recall,train_gen_recall,test_f1_macro,test_human_f1,test_gen_f1,test_human_precision,test_gen_precision,test_human_recall,test_gen_recall,val_f1_macro,val_human_f1,val_gen_f1,val_human_precision,val_gen_precision,val_human_recall,val_gen_recall
0,lr,0.6612213154199182,0.6645431238513911,0.6632221700328793,0.665864077669903,0.6589919103920349,0.6701321034940984,0.6675070910809959,0.6616500733194413,0.5393282246610028,0.5136272755971798,0.5650291737248259,0.48393813206424746,0.5978293338643832,0.5471973094170404,0.5356410027656348,0.6652007392145458,0.663321310961267,0.6670801674678245,0.6444241316270567,0.6870009581603321,0.6833602584814217,0.6482820976491862
1,xgb,0.7980324068085111,0.8987467598822494,0.8991652106387109,0.8983283091257879,0.8863966929495521,0.9115684093437152,0.9123069650173338,0.8854673149648838,0.5891472859176767,0.5222808995431081,0.6560136722922453,0.5547712088743224,0.6294686782551656,0.49338565022421527,0.684896065661522,0.8053431081928528,0.8021559923906151,0.8085302239950906,0.7874260815437286,0.8234375,0.8174474959612278,0.7941531042796866
2,svm,0.6599785912523621,0.6632592174682619,0.6623402009460886,0.6641782339904351,0.6573290913323504,0.6692524682651622,0.6674283012921526,0.6591803658254225,0.5402053112008701,0.5176827038604189,0.5627279185413213,0.484691382177443,0.5997375328083989,0.5554932735426009,0.5300205192256223,0.6645811624021281,0.6631166797180893,0.6660456450861667,0.6434650455927051,0.6868395773294909,0.6840064620355412,0.6464737793851718
3,rf,0.7450649413075496,0.7616248805157196,0.7562716866749093,0.76697807435653,0.7657701316533398,0.7579891468194151,0.7470059880239521,0.7761827583545574,0.4797557977424928,0.32597503350024687,0.6335365619847387,0.43943715535272865,0.5555480833893746,0.25908071748878925,0.7369970559371933,0.7476128028697606,0.7375771354335824,0.7576484703059388,0.7414299706170421,0.7540298507462686,0.7337641357027463,0.7613019891500904
