,model,cv_f1_macro,train_f1_macro,train_complex_f1,train_simple_f1,train_complex_precision,train_simple_precision,train_complex_recall,train_simple_recall,test_f1_macro,test_complex_f1,test_simple_f1,test_complex_precision,test_simple_precision,test_complex_recall,test_simple_recall,val_f1_macro,val_complex_f1,val_simple_f1,val_complex_precision,val_simple_precision,val_complex_recall,val_simple_recall
0,lr,0.9327544845955954,0.9355320460853132,0.9042989518456631,0.9667651403249631,0.9198084054388134,0.9611370430586877,0.889303854197789,0.9724595383390819,0.9369585617635279,0.9054477144646211,0.9684694090624347,0.9175126903553299,0.9642411642411642,0.8936959208899876,0.972734899328859,0.93190919925206,0.8987804878048781,0.9650379106992418,0.9166666666666666,0.9585774058577405,0.881578947368421,0.9715860899067006
1,xgb,0.9709359576776716,0.9989886162039311,0.9985081306877518,0.9994691017201104,0.9971692491060786,0.9999468847931162,0.9998506124887959,0.998991775006633,0.9723645490739138,0.9584905660377359,0.9862385321100917,0.9756722151088348,0.9805140961857379,0.9419035846724351,0.9920302013422819,0.970841877869778,0.9566279780085523,0.985055777731004,0.9775280898876404,0.9778520685332219,0.9366028708133971,0.9923664122137404
2,svm,0.9327489258550958,0.9354071602252643,0.904055390702275,0.9667589297482536,0.9212280973794387,0.9605552645364065,0.8875112040633403,0.9730432475457681,0.9382368102149408,0.9073842302878599,0.9690893901420217,0.9188846641318125,0.9650582362728786,0.896168108776267,0.9731543624161074,0.9315263355656037,0.8982327848872639,0.9648198862439435,0.915527950310559,0.9585600669736292,0.881578947368421,0.9711620016963528
3,rf,0.9611129768803593,0.9957402886509441,0.9937069223853761,0.997773654916512,0.9966937180643222,0.9967169711411172,0.990737974305348,0.9988325815866278,0.9644969756271127,0.9464285714285714,0.9825653798256538,0.9776021080368906,0.9724732949876747,0.9171817058096415,0.9928691275167785,0.9614017976422562,0.9422718808193669,0.9805317144651455,0.9793548387096774,0.9681686647374949,0.9078947368421053,0.993214588634436
