,model,cv_f1_macro,train_f1_macro,train_human_f1,train_gen_f1,train_human_precision,train_gen_precision,train_human_recall,train_gen_recall,test_f1_macro,test_human_f1,test_gen_f1,test_human_precision,test_gen_precision,test_human_recall,test_gen_recall,val_f1_macro,val_human_f1,val_gen_f1,val_human_precision,val_gen_precision,val_human_recall,val_gen_recall
0,lr,0.7586820251668367,0.7629535624899942,0.7631476431632256,0.7627594818167629,0.7547387887193713,0.7713676900007892,0.771745981720769,0.7543412827043297,0.6904925789737866,0.6260509474212573,0.7549342105263158,0.7108862923909945,0.7001754252154679,0.559304932735426,0.81898474440182,0.7574599934968964,0.7535267078776351,0.7613932791161577,0.739576851275669,0.7755548608940294,0.7680129240710823,0.7477396021699819
1,xgb,0.8279359089077338,0.9661584011888085,0.96609375,0.966223052377617,0.9580105361016424,0.9744133113570363,0.9743145288370627,0.9581693293200586,0.7105727124941355,0.6597155255544841,0.7614298994337869,0.7133733055265902,0.7232881111021915,0.6135650224215247,0.8038183602462307,0.8372840624663911,0.833731866730432,0.8408362582023501,0.8228445563247325,0.8516228748068007,0.8449111470113085,0.8303194695599759
2,svm,0.7575939667428301,0.7619004103393239,0.7622902962126815,0.7615105244659663,0.7532887145165013,0.7707509881422925,0.7715096123542389,0.7524890020838158,0.6907298788950624,0.6266449429753101,0.7548148148148148,0.7104290991759022,0.7005576350164235,0.5605381165919282,0.8181818181818182,0.7577563878463789,0.7533746228362712,0.7621381528564865,0.740787008119925,0.7748364995328558,0.7663974151857835,0.7498493068113321
3,rf,0.7741079326337068,0.7889984260358354,0.7953986453248572,0.7825982067468136,0.7651983982526392,0.8168541212019473,0.8280806807437756,0.7510997916184302,0.6592917206654627,0.6078867306342148,0.7106967106967107,0.6357072931962799,0.6884670067742745,0.5823991031390134,0.7344098492282987,0.7678088485093146,0.7690398635024042,0.7665778335162251,0.7395584725536993,0.7987585756288794,0.8009693053311793,0.7368896925858951
