feature,f-score,p-value
lemma_content_ttr,12.20498238319315,5.034719707453697e-06
noun_density,11.70462526157198,8.299928716809543e-06
num_noun_incidence,11.701006468817278,8.329991246457013e-06
temporal_connectives_incidence,11.077461517760288,1.5531211453538372e-05
num_punct_marks_per_sentence,11.059928568560656,1.5805680556676032e-05
content_overlap_adjacent_std,11.035117795930837,1.6202389445004594e-05
content_ttr,8.53244832102898,0.00019753424255838378
num_rare_advb_incidence,4.636688301207241,0.009697893322897552
adv_density,0.7929375192313787,0.4525247151748151
num_adv_incidence,0.7899954651587173,0.4538579449665797
