,model,train_score,test_score
0,xgb,0.9998830050049309,0.7091049484109321
1,svm,0.753150900755243,0.6973728505198104
2,lr,0.7541221713071433,0.6973782097819164
3,rf,0.8281677007304309,0.6685692434112058
