,model,cv_f1_macro,train_f1_macro,train_complex_f1,train_simple_f1,train_complex_precision,train_simple_precision,train_complex_recall,train_simple_recall,test_f1_macro,test_complex_f1,test_simple_f1,test_complex_precision,test_simple_precision,test_complex_recall,test_simple_recall,val_f1_macro,val_complex_f1,val_simple_f1,val_complex_precision,val_simple_precision,val_complex_recall,val_simple_recall
0,lr,0.9422986424711155,0.9465334137058414,0.9207118515713745,0.9723549758403084,0.9336507448932576,0.9676792095858735,0.9081266806095011,0.9770761475192359,0.9431497078987774,0.9146800501882058,0.9716193656093489,0.9286624203821656,0.9667774086378738,0.9011124845488258,0.9765100671140939,0.9429365691907498,0.9154589371980676,0.9704142011834319,0.9243902439024391,0.9671440606571188,0.9066985645933014,0.9737065309584394
1,xgb,0.970551521424801,0.9993929362971752,0.9991043439319302,0.9996815286624203,0.9983591885441527,0.9999469073533316,0.9998506124887959,0.9994162907933138,0.9745753209364314,0.9618988132417239,0.987251828631139,0.9722222222222222,0.9837567680133278,0.9517923362175525,0.9907718120805369,0.9743113691041176,0.9619335347432024,0.9866892034650327,0.9719169719169719,0.9831578947368421,0.9521531100478469,0.9902459711620017
2,svm,0.9406058844357774,0.9430931856677112,0.9155143595198298,0.9706720118155924,0.9315089672232529,0.9649205600125845,0.9000597550044817,0.9764924383125497,0.9426596031247194,0.9138906348208674,0.9714285714285714,0.9296675191815856,0.9659892160929076,0.8986402966625463,0.9769295302013423,0.9447350662983107,0.9179331306990881,0.9715370018975332,0.9332509270704573,0.9660377358490566,0.90311004784689,0.9770992366412213
3,rf,0.9601944971422831,0.9969620493480522,0.9955156950672646,0.9984084036288398,0.996111277295842,0.9981965734896303,0.9949208246190618,0.9986203236932873,0.965867506013006,0.9485714285714286,0.9831635834545832,0.9751958224543081,0.9744540585084467,0.92336217552534,0.9920302013422819,0.9662295597727559,0.9496932515337423,0.9827658680117697,0.9748110831234257,0.9741666666666666,0.9258373205741627,0.991518235793045
