,model,cv_f1_macro,train_f1_macro,train_basic_f1,train_intermediate_f1,train_advanced_f1,train_basic_precision,train_intermediate_precision,train_advanced_precision,train_basic_recall,train_intermediate_recall,train_advanced_recall,test_f1_macro,test_basic_f1,test_intermediate_f1,test_advanced_f1,test_basic_precision,test_intermediate_precision,test_advanced_precision,test_basic_recall,test_intermediate_recall,test_advanced_recall,val_f1_macro,val_basic_f1,val_intermediate_f1,val_advanced_f1,val_basic_precision,val_intermediate_precision,val_advanced_precision,val_basic_recall,val_intermediate_recall,val_advanced_recall
0,lr,0.8556350429751799,0.8635853649660709,0.9199285607977378,0.855213567839196,0.8156139662612789,0.9144167468007989,0.8553926701570681,0.8417004048582996,0.9255072246761997,0.8550345405065941,0.791095890410959,0.8623934895976674,0.9255039439088519,0.8653128885205139,0.7963636363636364,0.9225393127548049,0.8635235732009926,0.8202247191011236,0.9284876905041032,0.867109634551495,0.773851590106007,0.8607728790187666,0.91698670605613,0.8507333908541846,0.8145985401459854,0.9243597379392495,0.8341793570219966,0.8378378378378378,0.9097303634232122,0.8679577464788732,0.7926136363636364
1,xgb,0.9581731350502553,0.9990293112822543,0.9992885760287565,0.9993196922915903,0.9984796655264158,0.9995505617977528,0.9992673992673993,0.9973424449506454,0.9990267275585835,0.9993719907891983,0.9996194824961948,0.9672064231432804,0.9813302217036173,0.9687630154102457,0.9515260323159784,0.9767711962833914,0.9715956558061821,0.9671532846715328,0.9859320046893317,0.9659468438538206,0.9363957597173145,0.956907840229578,0.9769612131816856,0.9582784365393061,0.9354838709677419,0.9721416134648868,0.9561787905346187,0.9666666666666667,0.9818288393903869,0.960387323943662,0.90625
2,svm,0.8419226206133403,0.8470674986233376,0.9168020079728333,0.8459772513826568,0.7784232365145228,0.9041863851474335,0.8434248855597171,0.8558394160583942,0.9297746499962567,0.848545111994976,0.7138508371385084,0.8485955896003924,0.9230769230769231,0.858451290591174,0.7642585551330798,0.910958904109589,0.8606010016694491,0.8271604938271605,0.9355216881594373,0.856312292358804,0.7102473498233216,0.8435820340611816,0.9126099706744868,0.8421962818849978,0.7759398496240602,0.9131455399061033,0.8275276125743416,0.8242811501597445,0.9120750293083235,0.8573943661971831,0.7329545454545454
3,rf,0.9341610795787483,0.9971120487068207,0.997271130051213,0.9965397923875432,0.9975252236817057,0.9958936837389876,0.9983193277310924,0.9980952380952381,0.9986523920041925,0.9947665899099853,0.9969558599695586,0.9448348439868927,0.9684880023128072,0.944374738603095,0.9216417910447762,0.9555048488305762,0.9511373209772536,0.9762845849802372,0.9818288393903869,0.9377076411960132,0.872791519434629,0.9347595617010068,0.9667533969355305,0.9353846153846154,0.9021406727828746,0.9537934968625214,0.9341527655838455,0.9768211920529801,0.9800703399765534,0.9366197183098591,0.8380681818181818
