,model,cv_f1_macro,train_f1_macro,train_human_f1,train_gen_f1,train_human_precision,train_gen_precision,train_human_recall,train_gen_recall,test_f1_macro,test_human_f1,test_gen_f1,test_human_precision,test_gen_precision,test_human_recall,test_gen_recall,val_f1_macro,val_human_f1,val_gen_f1,val_human_precision,val_gen_precision,val_human_recall,val_gen_recall
0,lr,0.7394531096822001,0.7425942719093427,0.7411792378861534,0.744009305932532,0.7375936329588015,0.7476038338658147,0.7447998739363378,0.7404491780504746,0.5782819914064214,0.4236862745098039,0.7328777083030391,0.7052219321148825,0.6184428492545555,0.30280269058295967,0.8992773664019984,0.7421579582163969,0.7374940447832301,0.7468218716495635,0.7251717676452217,0.7592650264715042,0.7502423263327949,0.7347799879445449
1,xgb,0.8317163032928987,0.9595296552951782,0.9593355794092298,0.9597237311811267,0.9540283621630046,0.9650409676160749,0.9647021745981721,0.9544647680790307,0.6163065062343333,0.5018408382894364,0.7307721741792301,0.6810146041506533,0.6397989949748744,0.39730941704035877,0.8519047194218932,0.8347559587379871,0.8304786297422763,0.8390332877336981,0.8229695431472082,0.8463661453541859,0.8381260096930533,0.8318264014466547
2,svm,0.7388352029157621,0.7415466061005651,0.740700176021905,0.7423930361792251,0.7354928920997437,0.7476518472135254,0.7459817207689884,0.7372076869645752,0.5804798161914173,0.4280028096464528,0.7329568227363819,0.7043411250963267,0.6194875585119488,0.3073991031390135,0.8973146578642163,0.7387349207890779,0.7342535300650483,0.7432163115131075,0.7213216957605985,0.7563182527301092,0.7476575121163166,0.7305605786618445
3,rf,0.7809376993155377,0.8017806650298465,0.8047328185624832,0.7988285114972098,0.7852162830796912,0.819821283509342,0.8252442483454144,0.7788840009261403,0.6096838782602655,0.5148631799986876,0.7045045765218434,0.6208260800759614,0.6381607530774801,0.4397982062780269,0.7862431974306361,0.7774717878922304,0.7758756086068792,0.7790679671775816,0.7548899755501223,0.8010187838268068,0.7980613893376414,0.758288125376733
